label	definition	caption
car-alarm	A loud, high-pitched sound produced by a car alarm system, often triggered by motion or other stimuli.	
Trumpet	A brass musical instrument with a conical bore and a cup-shaped mouthpiece, played by blowing air into the mouthpiece and producing a bright, piercing sound.	
Cutlery, silverware	A set of metal utensils used for eating and serving food, typically consisting of a fork, knife, spoon, and sometimes a ladle or serving fork.	
Howl (wind)	A loud, mournful sound produced by wind blowing through a narrow opening or channel, often associated with a mourning or warning tone.	
Alarm	The loud, high-pitched sound produced by an alarm, often accompanied by a pulsing or beeping noise.	
Children shouting	The high-pitched, excited vocalizations produced by children, often characterized by rapid, repetitive bursts of sound.	
Scratching_(performance_technique)	The sound produced by rubbing a finger or other object against a surface, often used in DJing or turntablism to manipulate the pitch or rhythm of a record.	
Fire	The sound produced by the rapid combustion of fuel, characterized by its intensity, crackling, and popping noises.	
bus/brakes	The sound produced by the braking system of a bus or other vehicle, characterized by its screeching or squeaking noises.	
Cricket	The chirping sound produced by the wings of crickets, often characterized by a rhythmic, staccato pattern.	
Race car, auto racing	The roaring sound produced by the engine of a race car during high-speed racing, often characterized by its intensity and high-pitched frequencies.	
music	A form of art that uses sound to convey emotions, ideas, or stories, often characterized by its rhythm, melody, and harmony.	
Music	A form of art that uses sound to convey emotions, ideas, or stories, often through the use of melody, rhythm, harmony, and lyrics.	
Bird vocalization, bird call, bird song	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	
Gull_and_seagull	The loud, squawking vocalizations produced by gulls and seagulls, often heard over the ocean or near coastal areas.	
cupboard	A cabinet with doors and shelves for storing kitchen utensils and food.	
Microwave_oven	An electronic device that uses microwaves to heat or cook food.	
Ambulance (siren)	A loud, high-pitched sound produced by the siren of an ambulance, often used to alert people to an emergency.	
Fixed-wing aircraft, airplane	A type of aircraft with wings that are fixed in place and move in a forward direction through the air, often used for transportation.	
Siren	An electronic device that produces a loud, oscillating sound used for warning or alerting purposes, such as in emergency situations.	
children_voices	The sounds produced by children, often characterized by their high-pitched, melodious tones and rapid, rhythmic patterns.	
Speech	A human vocalization used for communication, characterized by rhythmic patterns of sound and syllables.	
Inside, small room	A space enclosed by walls and ceiling, typically used for residential or commercial purposes, with limited dimensions.	
Bathtub_(filling_or_washing)	A large, shallow basin designed for bathing, typically filled with water and used for personal hygiene or relaxation.	
Frying (food)	The sizzling sound produced by food cooking, characterized by rapid, popping noises.	
Strum	The rhythmic, plucking sound produced by a guitar or other stringed instrument, often accompanied by a steady beat.	
Accordion	A musical instrument that produces sound by the vibration of reeds when air is blown across them.	
Cupboard_open_or_close	The sound of a cupboard door opening or closing, characterized by a sharp, metallic clangor.	
Hair dryer	The sound of a hair dryer, characterized by a high-pitched, whirring noise and occasional bursts of hot air.	
Run	The rhythmic footsteps produced by a person running, characterized by a consistent pattern of impact and release sounds.	
Bicycle	The steady, rhythmic sound produced by the turning of a bicycle's wheels, often accompanied by the occasional clinking of the chain.	
Large rotating saw	The loud, high-pitched sound produced by a large rotating saw, characterized by its rapid, oscillating motion and the impact of the blade on the material being cut.	
Motorcycle	A two-wheeled vehicle with an internal combustion engine, characterized by its distinctive revving sound and vibrations.	
Fill_(with_liquid)	The sound of liquid being poured or filled into a container, often accompanied by splashing or gurgling noises.	
announcement_speech	A recorded or live speech used to make an announcement, often characterized by a clear, authoritative tone and a distinct cadence.	
Ratchet, pawl	A metallic sound produced by the movement of a ratchet and pawl mechanism, typically used in machinery or vehicles.	
Male singing	The vocalizations produced by male humans, characterized by a wide range of pitches, tones, and rhythms.	
Bicycle_bell	The loud, metallic sound produced by the ringing of a bicycle bell, often used to signal a turn or to attract attention.	
Frying	The sizzling sound produced by food cooking, characterized by rapid, popping noises.	
Wind noise (microphone)	The rustling, whistling, or hissing sounds produced by wind blowing through a microphone, often used in wind turbines or wind instruments.	
Electric_shaver_toothbrush	A device that produces a high-pitched, vibrating sound when used to shave or brush teeth, characterized by its rapid, rhythmic movements.	
Wind_instrument_and_woodwind_instrument	A musical instrument that produces sound by the vibration of air, typically characterized by its reed or flute-like structure, and producing a soft, airy tone.	
Trickle_and_dribble	A continuous, steady sound produced by the flow of liquid, often characterized by its soft, dripping quality and typically associated with faucets or waterfalls.	
Chewing, mastication	The sound of food being chewed and ground by teeth, characterized by rhythmic, crunching noises.	
bus/engine_accelerating	The sound of a bus or engine accelerating, characterized by a rising pitch and intensity.	
other	A sound that does not fit into any of the previously defined categories.	
large-crowd	A loud, bustling sound of many people talking, laughing, and moving around in a large group.	
Guitar	A stringed musical instrument with a distinctive, resonant sound produced by plucking or strumming the strings.	
Domestic_sounds_and_home_sounds	A variety of sounds produced in a home or domestic setting, such as dishes clinking, doors creaking, and footsteps on hard surfaces.	
Speech_synthesizer	An electronic device that produces synthetic speech, often used in voice recognition and language translation systems.	
Laughter	The sound produced by the respiratory system when laughing, characterized by short bursts of high-pitched vocalizations.	
Adult male speech	The vocalizations produced by adult male humans, characterized by distinct pitch, rhythm, and intonation patterns.	
Burping_and_eructation	The sound produced by the expulsion of gas from the stomach through the mouth, characterized by a short, sharp burst of sound followed by a hiss or fizz.	
Small/medium rotating saw	The sound produced by the rapid movement of a saw blade, characterized by a high-pitched, whirring noise.	
Gong	The sound produced by striking a large metal disc, characterized by a resonant, deep, and rich tone.	
Organ	A musical instrument that produces sound by the vibration of pipes, typically used in classical music and religious ceremonies.	
Packing tape, duct tape	A type of adhesive tape used for sealing boxes, securing items, and creating makeshift repairs.	
Squeak	A short, high-pitched sound produced by the friction of two surfaces or the movement of a small object.	
Speech synthesizer	An electronic device that produces human-sounding speech from text input.	
car/wheel_rolling	The rhythmic, metallic sound produced by the rotation of car wheels on a paved surface.	
Machine gun	The continuous, loud, and rapid sound produced by a machine gun, characterized by its high-pitched, metallic tones.	
Wind chime	The soft, melodic sound produced by wind blowing through metal chimes, characterized by its gentle, tinkling tones.	
Bird_vocalization_and_bird_call_and_bird_song	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	
Electric train	The continuous, rushing sound of an electric train, characterized by its intensity and white noise-like qualities.	
Drill	The rhythmic, high-pitched sound produced by a drill, characterized by its repetitive, pulsing nature.	
Human group actions	The collective sounds produced by a group of humans, often characterized by rhythm, harmony, and social interaction.	
Tools	The sounds produced by various tools, such as hammers, saws, and drills, often characterized by their mechanical nature and repetitive patterns.	
Whispering	The soft, hushed vocalizations produced with minimal breath and mouth movements, often characterized by their low volume and subtlety.	
Thunderstorm	A loud, rumbling sound produced by the rapid expansion of air surrounding lightning bolts, often accompanied by crackling or booming noises.	
Whistle	A high-pitched, continuous sound produced by blowing air through a narrow tube or cavity, often used as a signal or warning.	
Water	The sound of water flowing, splashing, or crashing, characterized by its intensity and white noise-like qualities.	
Coin (dropping)	The metallic clinking sound produced when a coin lands on a hard surface.	
Shout	A loud, high-pitched vocalization produced by the vocal cords, often used to express strong emotions.	
Adult female speech	The vocalizations produced by adult females, characterized by their pitch, tone, and rhythm.	
Glockenspiel	The metallic, ringing sound produced by striking metal bars with mallets, often used in orchestral music.	
Crash_cymbal	A loud, sharp, metallic sound produced by striking a cymbal with a mallet or stick.	
Keys jangling	The sound of metal keys clinking together, often produced by opening and closing a door or cabinet.	
Smash, crash	A loud, explosive sound produced by the impact of two hard objects, such as a car crash or a falling object.	
truck/brakes	The screeching sound produced by the brakes of a truck, often characterized by its high-pitched and metallic qualities.	
car horn	The loud, sharp sound produced by the horn of a car, often used to signal danger or warning.	
Door	The creaking or clicking sound produced by the opening and closing of a door, often accompanied by a slight rustling of the hinges.	
Cupboard open or close	The sound of a cupboard door opening or closing, characterized by a distinct click or clang.	
Rain	The continuous, rhythmic sound of raindrops hitting a surface, characterized by its intensity and white noise-like qualities.	
street_music	A live musical performance played on instruments or vocals, often performed in public spaces such as streets or parks.	
Smoke detector, smoke alarm	An electronic device that detects smoke particles in the air and sounds an alarm to alert people of a potential fire hazard.	
crow	A bird known for its distinctive cawing sound, often described as a loud, hoarse, and repetitive call.	
Helicopter	A rotorcraft with a rotating propeller, producing a continuous, rhythmic sound characterized by its pitch and intensity.	
other-unknown-impact-machinery	An unknown machine producing a sharp, metallic impact sound, often accompanied by a whirring or buzzing noise.	
Microwave oven	"An electronic device that produces a high-frequency, pulsating sound, often described as a ""beep"" or ""ping"", when in operation."	
Chicken, rooster	The distinct, clucking and crowing sounds produced by chickens, often characterized by their rhythmic and melodic qualities.	
Brass_instrument	The rich, resonant sounds produced by brass instruments, such as trumpets, trombones, and tubas, often characterized by their bright and powerful tones.	
Church bell	The deep, tolling sound produced by church bells, often characterized by their slow and rhythmic patterns, and used for religious ceremonies and announcements.	
water tap running	The steady, rhythmic sound of water flowing from a faucet.	
Baby laughter	The joyful, high-pitched laughter of a baby, characterized by short, repeated bursts of sound.	
Fart	The short, sharp sound produced by the expulsion of gas from the rectum, often accompanied by a slight odor.	
water_drops	The sound of water droplets falling from a height, characterized by their rhythmic, splashing nature.	
wind_blowing	The sound of wind blowing through objects, characterized by its whistling and rustling qualities.	
crying_baby	A high-pitched, wailing sound often associated with a baby's distress.	
truck/wheel_rolling	The rhythmic, metallic sound produced by the rotation of truck wheels on a paved surface.	
female scream	A loud, high-pitched vocalization produced by a female, often characterized by sudden onset and a sharp, piercing tone.	
person-or-small-group-shouting	The loud, vocal expressions produced by one or more people, often characterized by varying intensity, pitch, and rhythm.	
object falling	A loud, metallic sound produced by an object falling from a height, characterized by its sharpness and intensity.	
coffee machine	The continuous, rhythmic sound produced by a coffee machine, characterized by its warmth and richness.	
Alarm_bell_ringing	A high-pitched, piercing sound produced by an alarm bell, characterized by its urgency and intensity.	
Chewing_and_mastication	The sound of food being chewed and ground by teeth, characterized by rhythmic, crunching noises.	
gunshot	The sharp, explosive sound produced by the discharge of a firearm, often accompanied by a ringing or echoing noise.	
siren	The loud, oscillating wail produced by a siren, often used for warning or alert purposes.	
Telephone bell ringing	A metallic, high-pitched sound produced by a telephone bell, often characterized by a rapid, alternating ringing pattern.	
air_conditioner	A low-pitched, rhythmic sound produced by an air conditioning unit, often characterized by a steady humming or buzzing noise.	
Baby cry, infant cry	A high-pitched, emotional vocalization produced by a baby or infant, often characterized by short, bursting cries or whimpers.	
Tick-tock	The steady, rhythmic sound produced by a clock or other timekeeping device, characterized by a regular, alternating pattern of sound and silence.	
Electric_guitar	The sharp, twangy sound produced by an electric guitar, characterized by its high-pitched notes and resonant tone.	
Wildfire	The intense, crackling sound produced by a wildfire, characterized by its high-pitched, sibilant noises and the sound of burning leaves and debris.	
Train whistle	A loud, penetrating sound produced by the steam or air whistle of a train.	
Car alarm	A high-pitched, continuous sound produced by a car's alarm system.	
brushing_teeth	The sound of teeth being brushed against a surface, characterized by a rhythmic, repetitive pattern of short, sharp noises.	
Engine starting	The sound produced by an engine when it is started, characterized by a loud, rumbling noise that gradually fades into a steady hum.	
Frying_(food)	The sizzling sound produced by food cooking in a frying pan, characterized by rapid, popping noises that increase in intensity as the food cooks.	
Truck	A large, heavy vehicle designed for transporting goods, characterized by its loud, rumbling engine and metallic clanging sounds.	
Crumpling, crinkling	The sound of paper or plastic being crushed or folded, characterized by its soft, crinkling texture.	
Livestock_and_farm_animals_and_working_animals	The sounds produced by various farm animals, including cows, pigs, and chickens, as well as the sounds of people working on a farm, such as the sound of a tractor or the clanging of metal.	
motorcycle/engine_idling	The steady, rhythmic sound produced by the engine of a motorcycle while it is idling, characterized by a low pitch and a steady rhythm.	
drawer	The sound produced by the movement of a drawer, characterized by a soft, metallic clinking or scraping sound.	
Tambourine	The sound produced by the shaking of a tambourine, characterized by a sharp, metallic tinkling or jingling sound.	
Race_car_and_auto_racing	The roaring and screeching sounds produced by race cars and other vehicles during high-speed racing, characterized by their intensity and rhythmic patterns.	
Singing	The melodic vocalizations produced by the human voice, characterized by their pitch, rhythm, and emotional expression, often accompanied by musical instruments.	
non-machinery-impact	The sounds produced by non-machinery impacts, such as the crashing of waves, the rustling of leaves, or the chirping of birds, characterized by their natural and organic qualities.	
Writing	The sound of a pen or pencil scratching against paper, characterized by a rhythmic, repetitive pattern.	
Friction brake	The screeching sound produced by the friction between brake pads and brake rotors when braking a vehicle.	
Dog	The sound of a dog barking, characterized by its pitch, tone, and rhythm, and often accompanied by other sounds such as growling or whining.	
Tearing	The sound of fabric or paper being torn, characterized by its sharp, tearing noise.	
Inside, public space	A space within a building or structure that is accessible to the public, often with a distinct acoustic environment	
Hoe ram	A type of ram used for agricultural purposes, characterized by its distinctive braying sound	
hen	A bird known for its distinctive clucking sound, often used in farming and poultry production.	
car passing by	The sound of a car engine and tires rolling on the road as it passes by, often characterized by a steady hum and occasional vibrations.	
Computer_keyboard	The clicking sound produced by the keys on a computer keyboard as they are pressed and released, often used as a reference for computer-generated sounds.	
Shatter	A sharp, cracking sound produced by the breaking of a hard material, such as glass or ice.	
Air horn, truck horn	A loud, high-pitched sound produced by an air horn or truck horn, often used to signal danger or warning.	
glass_breaking	The sharp, cracking sound produced when glass is shattered or broken.	
laughing	The light, high-pitched vocalizations produced with minimal breath and mouth movements, often characterized by short, repeated bursts of sound.	
Crushing	A loud, sharp, and sudden sound produced by the impact of a heavy object on a hard surface.	
truck/engine_idling	A low, rumbling sound produced by the engine of a truck when it is idling or running at low speed.	
Snap	A short, sharp, and sudden sound produced by the breaking of a thin or brittle material, such as a twig or a piece of paper.	
Fire alarm	A loud, piercing sound produced by a fire alarm system, often characterized by a high-pitched, oscillating tone.	
Finger_snapping	The sharp, crackling sound produced by snapping one's fingers together, often used as a rhythmic accompaniment or attention-getting device.	
Respiratory_sounds	The various sounds produced by the respiratory system, including breathing, coughing, and sneezing, characterized by their rhythm, pitch, and intensity.	
Stream	A continuous flow of water or other liquid, often characterized by its sound as it flows over rocks or other obstacles.	
Car horn	The loud, high-pitched sound produced by the horn of a car, used to signal danger or attract attention.	
Power_tool	A power tool is a machine that uses electricity to perform tasks such as cutting, drilling, or sanding. The sound produced by a power tool is typically characterized by its high-pitched whine or buzz, which can vary in intensity depending on the tool's speed and power.	
Human_group_actions	Human group actions refer to the collective sounds produced by a group of people performing activities such as singing, dancing, or chanting. The sound produced by a human group action is typically characterized by its rhythm, melody, and harmony, which can vary depending on the group's size, composition, and cultural background.	
Fowl	Fowl refers to birds that are commonly kept as pets or used for food production. The sound produced by fowl is typically characterized by its distinct vocalizations, which can include chirps, coos, clucks, and squawks. The sound of fowl can also vary depending on the species, age, and health of the bird.	
television	The sound produced by a television, characterized by its high-pitched, electronic quality and the presence of background noise.	
announcement_jingle	The short, catchy melody played before and after television commercials and announcements, often featuring upbeat, cheerful tones.	
Mallet_percussion	The sharp, metallic sound produced by striking a mallet against a metal surface, often used in orchestral music and percussion ensembles.	
motorcycle	The roar of a motorcycle engine, characterized by its high-pitched, revving sound.	
Ocean	The continuous, rhythmic sound of waves crashing against the shore, often accompanied by the sound of seagulls and other marine life.	
Traffic_noise_and_roadway_noise	The cacophony of sounds produced by traffic, including horns, engines, and screeching brakes, often accompanied by the sound of tires on asphalt.	
Rock drill	A loud, rhythmic sound produced by a drilling tool used to excavate rock or other hard materials.	
Vehicle horn, car horn, honking, toot	A loud, high-pitched sound produced by a horn on a vehicle, often used to signal danger or warning.	
Clock	A steady, ticking sound produced by a clock mechanism, often accompanied by a soft, rhythmic chime on the hour.	
Acoustic_guitar	A stringed musical instrument played by plucking or strumming the strings, characterized by a rich, resonant sound.	
Mechanisms	The physical processes that produce sound, such as vibration, compression, and expansion.	
wind	The invisible force that moves air and produces sound, often associated with musical instruments such as flutes and clarinets.	
Zipper_(clothing)	A fastening device used to close or open clothing, characterized by a series of overlapping metal or plastic teeth.	
Large engine	A powerful internal combustion engine used in vehicles, airplanes, and other heavy machinery, characterized by its size and power output.	
Purr	A low, rumbling sound produced by a cat, often associated with contentment or relaxation.	
ice-cream-truck	The loud, jingling sound produced by an ice cream truck, often characterized by its repetitive melody and high pitch.	
Bird chirping	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	
Police car (siren)	The high-pitched, wailing sound produced by the siren of a police car, often accompanied by a steady, pulsing rhythm.	
offscreen	A sound that is heard from a distance, but not directly in front of the listener.	
Powered saw	The high-pitched, whirring sound produced by a powered saw as it cuts through wood.	
Running_water	The continuous, soothing sound of water flowing over rocks or stones in a river or stream.	
Typing	The rhythmic, repetitive sound produced by the impact of fingers on a keyboard while typing.	
Insect chirping	The high-pitched, trilling vocalizations produced by insects, often characterized by their rapid, staccato rhythm.	
crickets	The continuous, chirping sound produced by crickets, often characterized by their high-pitched, rhythmic vocalizations.	
engine-of-uncertain-size	A mechanical device that produces a continuous, rhythmic sound with varying intensity and pitch, often used to power vehicles or machinery.	
Bathtub (filling or washing)	A large, shallow basin with a drainage hole, used for bathing or washing oneself. The sound of water filling or washing in the bathtub is characterized by its steady, splashing rhythm.	
Aircraft engine	A mechanical device that produces a high-pitched, whirring sound, used to power aircraft. The sound of an aircraft engine is often accompanied by a steady hum or buzz, and can vary in intensity depending on the speed and altitude of the aircraft.	
Chuckle_and_chortle	A light, playful sound produced by the vocal cords, characterized by short bursts of sound and a rising and falling pitch.	
Alert signal	A high-pitched, continuous sound produced by a device or system to indicate an impending danger or warning.	
Yell	A loud, high-pitched vocalization produced with a strong burst of air from the lungs, often used to express strong emotions.	
Drawer_open_or_close	The sound of a drawer opening or closing, characterized by a sharp, metallic clangor or a soft, wooden creak.	
Zipper (clothing)	The sound of a zipper being pulled or released, characterized by a smooth, metallic glide or a rough, plastic friction.	
dog-barking-whining	A high-pitched, whining sound produced by a dog, often characterized by rapid, staccato bursts of sound.	
Female_singing	A melodic vocalization produced by a female, characterized by a wide range of pitches and a distinct, expressive tone.	
metro leaving	The sound of a train pulling away from a station, characterized by a deep rumble and a gradual decrease in intensity as the train moves away.	
washing machine	A mechanical device used for cleaning clothes, characterized by a rhythmic, repetitive sound produced by the movement of water and fabric through a drum.	
Cowbell	A metal instrument used in music, characterized by a sharp, ringing sound produced by striking it with a mallet or other percussive object.	
Snare drum	A percussion instrument used in music, characterized by a sharp, cracking sound produced by striking a tight, thin head with a stick or mallet.	
Toilet_flush	The sound of water rushing out of a toilet bowl, characterized by a continuous, rhythmic flow and a distinct pitch.	
Stream, river	The continuous, flowing sound of water moving over rocks and pebbles in a stream or river, characterized by its intensity and white noise-like qualities.	
Slam	The loud, sharp sound produced by a heavy object hitting a hard surface, characterized by its short duration and high intensity.	
Respiratory sounds	The sounds produced by the human respiratory system, including breathing, coughing, and sneezing, characterized by their rhythm, pitch, and intensity.	
